UID,Point_ID,Easting,Northing,Elevation,Timestamp,STN_Easting,STN_Northing,STN_Height,STN_Elevation,Target_Height,Horizontal_Angle,Vertical_Angle,Slope_Distance,Horizontal_Dist,Prism_Constant,Height_Diff
MR2_MR9012_1,MR9012,1096.881,4981.459,199.371,11:40,,,,,1.543,"100° 50' 03""","089° 28' 11""",98.644,98.639,0,0.629
MR2_MR9012_2,MR9012,1096.881,4981.459,199.378,11:40,,,,,1.543,"280° 50' 02""","270° 32' 06""",98.644,98.639,0,0.622
MR2_MR9012_3,MR9012,1096.881,4981.459,199.376,11:40,,,,,1.543,"280° 50' 04""","270° 32' 00""",98.644,98.639,0,0.624
MR2_MR9012_4,MR9012,1096.882,4981.460,199.368,11:41,,,,,1.543,"100° 50' 01""","089° 28' 17""",98.644,98.640,0,0.632
MR2_MR9013_1,MR9013,1078.198,4983.518,199.720,11:41,,,,,1.543,"101° 54' 09""","089° 05' 42""",79.926,79.916,0,0.280
MR2_MR9013_2,MR9013,1078.198,4983.517,199.724,11:41,,,,,1.543,"281° 54' 10""","270° 54' 29""",79.926,79.916,0,0.276
MR2_MR9014_1,MR9014,1057.163,4987.180,199.847,11:42,,,,,1.543,"282° 38' 27""","271° 21' 32""",58.599,58.583,0,0.153
MR2_MR9014_2,MR9014,1057.163,4987.181,199.843,11:42,,,,,1.543,"102° 38' 24""","088° 38' 42""",58.599,58.583,0,0.157
MR2_MR9015_1,MR9015,1039.456,4989.219,199.668,11:42,,,,,1.543,"105° 16' 56""","088° 18' 13""",40.920,40.902,0,0.332
MR2_MR9015_2,MR9015,1039.456,4989.219,199.672,11:42,,,,,1.543,"285° 16' 55""","271° 42' 02""",40.920,40.902,0,0.328
MR2_MR9016_1,MR9016,1018.252,4991.365,199.305,11:43,,,,,1.543,"295° 19' 11""","272° 24' 17""",20.209,20.191,0,0.695
MR2_MR9016_2,MR9016,1018.252,4991.365,199.304,11:43,,,,,1.543,"115° 19' 11""","087° 35' 57""",20.209,20.191,0,0.696
MR2_MR9017_1,MR9017,1000.119,4991.602,198.987,11:43,,,,,1.543,"179° 11' 22""","086° 23' 29""",8.416,8.399,0,1.013
MR2_MR9017_2,MR9017,1000.119,4991.602,198.987,11:43,,,,,1.543,"359° 11' 24""","273° 36' 34""",8.416,8.399,0,1.013
MR2_MR9018_1,MR9018,979.296,4988.991,198.940,11:44,,,,,1.543,"061° 59' 55""","271° 10' 47""",23.454,23.449,0,1.060
MR2_MR9018_2,MR9018,979.296,4988.991,198.939,11:44,,,,,1.543,"241° 59' 55""","088° 49' 23""",23.454,23.449,0,1.061
MR2_MR9019_1,MR9019,958.554,4986.300,198.997,11:44,,,,,1.543,"251° 42' 31""","089° 17' 28""",43.655,43.652,0,1.003
MR2_MR9019_2,MR9019,958.553,4986.300,199.001,11:45,,,,,1.543,"071° 42' 33""","270° 42' 52""",43.656,43.652,0,0.999
MR2_MR9020_1,MR9020,940.127,4983.851,199.533,11:45,,,,,1.543,"074° 54' 18""","270° 59' 37""",62.022,62.013,0,0.467
MR2_MR9020_2,MR9020,940.128,4983.849,199.527,11:45,,,,,1.543,"254° 54' 13""","089° 00' 42""",62.022,62.013,0,0.473
MR2_MR9021_1,MR9021,918.746,4981.057,199.617,11:45,,,,,1.543,"256° 52' 36""","089° 12' 13""",83.441,83.433,0,0.383
MR2_MR9021_2,MR9021,918.746,4981.057,199.624,11:46,,,,,1.543,"076° 52' 36""","270° 48' 04""",83.441,83.433,0,0.376
MR2_MR9022_1,MR9022,900.719,4978.869,199.734,11:46,,,,,1.543,"077° 59' 03""","270° 43' 13""",101.513,101.505,0,0.266
MR2_MR9022_2,MR9022,900.720,4978.865,199.722,11:46,,,,,1.543,"257° 58' 55""","089° 17' 10""",101.513,101.505,0,0.278
MR2_MR9022_3,MR9022,900.719,4978.868,199.725,11:46,,,,,1.543,"257° 59' 02""","089° 17' 05""",101.513,101.505,0,0.275
MR2_MR9022_4,MR9022,900.720,4978.865,199.734,11:46,,,,,1.543,"077° 58' 56""","270° 43' 13""",101.513,101.505,0,0.266
,MR3,,,,,1000.000,5000.000,0.000,200.000,,,,,,,
MR3_3_1,3,,,,11:53,,,,,0.000,"360° 00' 00""","080° 50' 02""",,,0,
MR3_MR9022_1,MR9022,929.845,4926.773,196.571,11:54,,,,,1.543,"223° 46' 22""","091° 03' 58""",101.427,101.410,0,3.429
MR3_MR9022_2,MR9022,929.844,4926.774,196.581,11:54,,,,,1.543,"043° 46' 25""","268° 56' 24""",101.427,101.410,0,3.419
MR3_MR9022_3,MR9022,929.846,4926.772,196.582,11:54,,,,,1.543,"043° 46' 18""","268° 56' 25""",101.427,101.410,0,3.418
MR3_MR9022_4,MR9022,929.845,4926.773,196.574,11:54,,,,,1.543,"223° 46' 22""","091° 03' 51""",101.427,101.410,0,3.426
MR3_MR9023_1,MR9023,943.410,4942.908,196.707,11:55,,,,,1.543,"224° 44' 49""","091° 14' 50""",80.405,80.386,0,3.293
