UID,Point_ID,Easting,Northing,Elevation,Timestamp,STN_Easting,STN_Northing,STN_Height,STN_Elevation,Target_Height,Horizontal_Angle,Vertical_Angle,Slope_Distance,Horizontal_Dist,Prism_Constant,Height_Diff
STN742_XU74760_1,XU74760,287531.880,6215358.438,128.755,09:57,,,,,0.000,"260° 07' 46""","085° 36' 48""",41.517,41.395,8,3.176
STN742_XU74760_2,XU74760,287531.880,6215358.438,128.753,10:02,,,,,0.000,"080° 07' 47""","274° 23' 02""",41.517,41.395,8,3.174
,CUL74,,,,,287474.997,6215373.340,0.000,120.704,,,,,,,
CUL74_CUL7401C_1,CUL7401C,287474.436,6215369.492,119.966,10:12,,,,,0.000,"188° 17' 46""","100° 44' 44""",3.958,3.889,8,0.738
CUL74_CUL7401C_2,CUL7401C,287474.436,6215369.492,119.966,10:14,,,,,0.000,"008° 17' 35""","259° 14' 58""",3.958,3.889,8,0.738
CUL74_CUL7401S_1,CUL7401S,287476.143,6215369.363,120.010,10:12,,,,,0.000,"163° 55' 34""","099° 31' 11""",4.196,4.139,8,0.694
CUL74_CUL7401S_2,CUL7401S,287476.143,6215369.363,120.010,10:13,,,,,0.000,"343° 55' 25""","260° 28' 25""",4.196,4.138,8,0.694
CUL74_CUL7402C_1,CUL7402C,287474.332,6215349.512,119.786,10:12,,,,,0.000,"181° 35' 59""","092° 12' 21""",23.855,23.837,8,0.918
CUL74_CUL7402C_2,CUL7402C,287474.332,6215349.512,119.784,10:14,,,,,0.000,"001° 35' 53""","267° 47' 23""",23.855,23.837,8,0.920
CUL74_CUL7402S_1,CUL7402S,287476.031,6215349.419,119.831,10:12,,,,,0.000,"177° 31' 26""","092° 05' 18""",23.959,23.943,8,0.873
CUL74_CUL7402S_2,CUL7402S,287476.032,6215349.419,119.829,10:13,,,,,0.000,"357° 31' 23""","267° 54' 27""",23.959,23.943,8,0.875
CUL74_CUL7403C_1,CUL7403C,287474.311,6215329.964,119.408,10:12,,,,,0.000,"180° 54' 24""","091° 42' 40""",43.400,43.381,8,1.296
CUL74_CUL7403C_2,CUL7403C,287474.312,6215329.964,119.406,10:14,,,,,0.000,"000° 54' 19""","268° 17' 07""",43.400,43.381,8,1.299
CUL74_CUL7403S_1,CUL7403S,287476.029,6215329.962,119.430,10:12,,,,,0.000,"178° 38' 14""","091° 40' 57""",43.409,43.390,8,1.274
CUL74_CUL7403S_2,CUL7403S,287476.030,6215329.962,119.426,10:13,,,,,0.000,"358° 38' 10""","268° 18' 48""",43.409,43.390,8,1.278
CUL74_INLET_1,INLET,287483.214,6215371.212,120.069,10:15,,,,,0.000,"104° 31' 12""","094° 16' 32""",8.512,8.488,8,0.635
CUL74_INLET_2,INLET,287483.214,6215371.212,120.069,10:15,,,,,0.000,"284° 31' 09""","265° 43' 16""",8.512,8.488,8,0.635
CUL74_STN741_1,STN741,287406.698,6215388.523,125.833,10:10,,,,,0.000,"282° 31' 59""","085° 48' 29""",70.154,69.966,23,5.128
CUL74_STN741_2,STN741,287406.698,6215388.524,125.835,10:12,,,,,0.000,"282° 32' 03""","085° 48' 20""",70.154,69.966,23,5.131
CUL74_STN741_3,STN741,287406.697,6215388.521,125.830,10:14,,,,,0.000,"102° 31' 53""","274° 11' 25""",70.154,69.967,23,5.126
CUL74_STN742_1,STN742,287572.648,6215365.536,125.582,10:11,,,,,0.000,"094° 34' 09""","087° 08' 58""",98.084,97.963,23,4.878
CUL74_STN742_2,STN742,287572.650,6215365.539,125.584,10:13,,,,,0.000,"094° 34' 02""","087° 08' 56""",98.085,97.964,23,4.880
CUL74_STN742_3,STN742,287572.650,6215365.540,125.577,10:13,,,,,0.000,"274° 34' 02""","272° 50' 50""",98.085,97.964,23,4.873
CUL74_UB74790_1,UB74790,287499.940,6215369.780,121.536,10:12,,,,,0.000,"098° 07' 24""","088° 06' 29""",25.210,25.195,39,0.832
CUL74_UB74790_2,UB74790,287499.941,6215369.780,121.535,10:13,,,,,0.000,"278° 07' 21""","271° 53' 21""",25.210,25.196,39,0.831
CUL74_UT74790_1,UT74790,287499.622,6215358.166,129.342,10:13,,,,,0.000,"121° 38' 30""","073° 22' 21""",30.187,28.925,34,8.638
CUL74_UT74790_2,UT74790,287499.622,6215358.166,129.340,10:13,,,,,0.000,"301° 38' 27""","286° 37' 28""",30.187,28.925,34,8.636
,CUL74D,,,,,1000.000,5000.000,0.000,200.000,,,,,,,
CUL74D_DB74810_1,DB74810,1005.038,4997.104,201.550,10:24,,,,,0.000,"299° 53' 44""","284° 56' 11""",6.014,5.811,34,1.550
CUL74D_DB74810_2,DB74810,1005.038,4997.103,201.551,10:24,,,,,0.000,"119° 53' 52""","075° 03' 37""",6.015,5.811,34,1.551
CUL74D_DB74830_1,DB74830,1011.704,5016.997,200.064,10:23,,,,,0.000,"034° 33' 08""","089° 49' 21""",20.637,20.637,39,0.064
CUL74D_DB74830_2,DB74830,1011.704,5016.996,200.063,10:23,,,,,0.000,"214° 33' 04""","270° 10' 25""",20.636,20.636,39,0.063
CUL74D_OUTLET_1,OUTLET,1002.694,4995.779,198.877,10:25,,,,,0.000,"147° 26' 58""","102° 38' 22""",5.132,5.007,8,1.123
CUL74D_OUTLET_2,OUTLET,1002.694,4995.779,198.877,10:25,,,,,0.000,"327° 26' 54""","257° 21' 31""",5.131,5.007,8,1.123
,STN741,,,,,287406.684,6215388.525,0.000,125.836,,,,,,,
STN741_STN11_1,STN11,287351.294,6215323.778,129.678,10:41,,,,,0.000,"220° 32' 45""","087° 25' 07""",85.293,85.207,23,3.842
STN741_STN11_2,STN11,287351.296,6215323.776,129.678,10:48,,,,,0.000,"040° 32' 39""","272° 34' 53""",85.294,85.207,23,3.842
STN741_STN12_1,STN12,287562.138,6215335.688,132.117,10:44,,,,,0.000,"108° 46' 20""","087° 48' 36""",164.309,164.188,23,6.281
STN741_STN12_2,STN12,287562.139,6215335.689,132.110,10:45,,,,,0.000,"288° 46' 18""","272° 11' 15""",164.308,164.189,23,6.274
STN741_STN742_1,STN742,287572.634,6215365.538,125.591,10:40,,,,,0.000,"097° 53' 11""","090° 05' 12""",167.535,167.535,23,0.245
STN741_STN742_2,STN742,287572.634,6215365.537,125.584,10:44,,,,,0.000,"097° 53' 12""","090° 05' 12""",167.535,167.535,23,0.252
STN741_STN742_3,STN742,287572.634,6215365.539,125.578,10:45,,,,,0.000,"277° 53' 10""","269° 54' 40""",167.535,167.534,23,0.258
STN741_UB74790_1,UB74790,287499.924,6215369.780,121.537,10:44,,,,,0.000,"101° 22' 02""","092° 35' 20""",95.203,95.106,39,4.299
STN741_UB74790_2,UB74790,287499.924,6215369.781,121.536,10:45,,,,,0.000,"281° 21' 59""","267° 24' 37""",95.203,95.106,39,4.300
STN741_UB74800_1,UB74800,287488.050,6215371.314,121.125,10:44,,,,,0.000,"101° 56' 36""","093° 14' 33""",83.300,83.167,8,4.711
STN741_UB74800_2,UB74800,287488.050,6215371.314,121.125,10:45,,,,,0.000,"281° 56' 36""","266° 45' 28""",83.300,83.167,8,4.711
STN741_UB74810_1,UB74810,287479.473,6215371.342,120.327,10:43,,,,,0.000,"103° 16' 55""","094° 12' 48""",74.993,74.790,8,5.509
STN741_UB74810_2,UB74810,287479.474,6215371.342,120.326,10:45,,,,,0.000,"283° 16' 55""","265° 47' 11""",74.993,74.791,8,5.510
STN741_UB74820_1,UB74820,287468.728,6215371.095,121.641,10:43,,,,,0.000,"105° 41' 30""","093° 43' 30""",64.582,64.446,8,4.195
STN741_UB74820_2,UB74820,287468.729,6215371.096,121.639,10:46,,,,,0.000,"285° 41' 25""","266° 16' 24""",64.583,64.446,8,4.197
STN741_UB74830_1,UB74830,287458.814,6215366.454,122.486,10:43,,,,,0.000,"112° 56' 48""","093° 23' 11""",56.709,56.610,8,3.350
STN741_UB74830_2,UB74830,287458.814,6215366.454,122.484,10:46,,,,,0.000,"292° 56' 49""","266° 36' 41""",56.709,56.610,8,3.352
STN741_UB74840_1,UB74840,287448.353,6215365.709,122.915,10:43,,,,,0.000,"118° 42' 08""","093° 31' 08""",47.597,47.507,8,2.921
STN741_UB74840_2,UB74840,287448.353,6215365.710,122.912,10:46,,,,,0.000,"298° 42' 06""","266° 28' 42""",47.597,47.507,8,2.924
STN741_UB74850_1,UB74850,287437.633,6215364.598,123.498,10:42,,,,,0.000,"127° 42' 27""","093° 25' 15""",39.189,39.119,8,2.338
STN741_UB74850_2,UB74850,287437.633,6215364.599,123.496,10:46,,,,,0.000,"307° 42' 26""","266° 34' 34""",39.189,39.119,8,2.340
STN741_UB74860_1,UB74860,287427.403,6215362.353,123.994,10:42,,,,,0.000,"141° 37' 58""","093° 09' 34""",33.431,33.381,8,1.842
STN741_UB74860_2,UB74860,287427.403,6215362.353,123.991,10:47,,,,,0.000,"321° 37' 56""","266° 50' 11""",33.431,33.381,8,1.845
STN741_UB74870_1,UB74870,287417.342,6215360.297,124.512,10:42,,,,,0.000,"159° 18' 54""","092° 30' 49""",30.202,30.173,8,1.324
STN741_UB74870_2,UB74870,287417.342,6215360.297,124.509,10:47,,,,,0.000,"339° 18' 48""","267° 28' 52""",30.202,30.173,8,1.327
STN741_UB74880_1,UB74880,287406.515,6215358.005,124.887,10:42,,,,,0.000,"180° 19' 02""","091° 46' 52""",30.536,30.521,8,0.949
STN741_UB74880_2,UB74880,287406.515,6215358.005,124.884,10:47,,,,,0.000,"000° 18' 58""","268° 12' 51""",30.535,30.521,8,0.952
STN741_UB74890_1,UB74890,287396.531,6215356.695,125.147,10:42,,,,,0.000,"197° 41' 28""","091° 10' 56""",33.417,33.410,8,0.689
STN741_UB74890_2,UB74890,287396.531,6215356.695,125.145,10:47,,,,,0.000,"017° 41' 29""","268° 48' 53""",33.417,33.410,8,0.691
STN741_UB74900_1,UB74900,287386.324,6215354.396,125.566,10:41,,,,,0.000,"210° 49' 06""","090° 23' 19""",39.742,39.741,8,0.270
STN741_UB74900_2,UB74900,287386.324,6215354.396,125.564,10:47,,,,,0.000,"030° 49' 05""","269° 36' 29""",39.742,39.741,8,0.272
STN741_UB74910_1,UB74910,287376.490,6215351.125,125.946,10:41,,,,,0.000,"218° 54' 51""","089° 52' 10""",48.067,48.067,8,0.110
STN741_UB74910_2,UB74910,287376.490,6215351.125,125.943,10:48,,,,,0.000,"038° 54' 52""","270° 07' 37""",48.067,48.067,8,0.107
STN741_UB74920_1,UB74920,287366.609,6215348.057,126.208,10:41,,,,,0.000,"224° 43' 11""","089° 37' 32""",56.954,56.953,8,0.372
STN741_UB74920_2,UB74920,287366.609,6215348.057,126.206,10:48,,,,,0.000,"044° 43' 11""","270° 22' 19""",56.954,56.953,8,0.370
STN741_UB74930_1,UB74930,287356.324,6215344.728,126.915,10:41,,,,,0.000,"228° 59' 13""","089° 04' 26""",66.749,66.741,8,1.079
STN741_UB74930_2,UB74930,287356.323,6215344.729,126.911,10:48,,,,,0.000,"048° 59' 18""","270° 55' 22""",66.749,66.740,8,1.075
STN741_UB74940_1,UB74940,287346.857,6215341.588,127.555,10:41,,,,,0.000,"231° 53' 02""","088° 42' 18""",76.061,76.041,8,1.719
STN741_UB74940_2,UB74940,287346.857,6215341.588,127.554,10:48,,,,,0.000,"051° 53' 01""","271° 17' 39""",76.061,76.041,8,1.718
STN741_UT74790_1,UT74790,287499.609,6215358.170,129.339,10:44,,,,,0.000,"108° 05' 25""","087° 56' 54""",97.820,97.757,34,3.503
STN741_UT74790_2,UT74790,287499.609,6215358.170,129.337,10:45,,,,,0.000,"288° 05' 24""","272° 03' 03""",97.820,97.757,34,3.501
STN741_UT74800_1,UT74800,287489.082,6215357.696,128.909,10:44,,,,,0.000,"110° 30' 47""","087° 59' 60""",88.031,87.977,8,3.073
STN741_UT74800_2,UT74800,287489.083,6215357.697,128.906,10:45,,,,,0.000,"290° 30' 44""","271° 59' 54""",88.031,87.977,8,3.070
STN741_UT74810_1,UT74810,287479.427,6215357.040,129.000,10:44,,,,,0.000,"113° 24' 15""","087° 42' 51""",79.328,79.265,8,3.164
STN741_UT74810_2,UT74810,287479.427,6215357.040,128.998,10:45,,,,,0.000,"293° 24' 14""","272° 17' 02""",79.328,79.265,8,3.162
STN741_UT74820_1,UT74820,287468.825,6215356.612,128.861,10:43,,,,,0.000,"117° 10' 59""","087° 31' 16""",69.922,69.857,8,3.025
STN741_UT74820_2,UT74820,287468.825,6215356.612,128.858,10:46,,,,,0.000,"297° 10' 59""","272° 28' 35""",69.923,69.857,8,3.022
STN741_UT74830_1,UT74830,287458.815,6215357.253,128.551,10:43,,,,,0.000,"120° 57' 30""","087° 26' 36""",60.852,60.791,8,2.715
STN741_UT74830_2,UT74830,287458.815,6215357.254,128.548,10:46,,,,,0.000,"300° 57' 28""","272° 33' 16""",60.852,60.791,8,2.712
STN741_UT74840_1,UT74840,287448.714,6215357.924,128.386,10:43,,,,,0.000,"126° 03' 24""","087° 11' 32""",52.053,51.990,8,2.550
STN741_UT74840_2,UT74840,287448.714,6215357.924,128.383,10:46,,,,,0.000,"306° 03' 23""","272° 48' 18""",52.053,51.990,8,2.547
STN741_UT74850_1,UT74850,287438.420,6215356.684,128.518,10:43,,,,,0.000,"135° 05' 39""","086° 35' 10""",45.036,44.956,8,2.682
STN741_UT74850_2,UT74850,287438.420,6215356.685,128.515,10:46,,,,,0.000,"315° 05' 36""","273° 24' 37""",45.036,44.956,8,2.679
STN741_UT74860_1,UT74860,287428.058,6215355.329,128.451,10:42,,,,,0.000,"147° 13' 22""","086° 12' 39""",39.569,39.482,8,2.615
STN741_UT74860_2,UT74860,287428.058,6215355.329,128.449,10:47,,,,,0.000,"327° 13' 22""","273° 47' 10""",39.568,39.482,8,2.613
STN741_UT74870_1,UT74870,287418.413,6215354.529,128.137,10:42,,,,,0.000,"160° 57' 51""","086° 20' 19""",36.036,35.963,8,2.301
STN741_UT74870_2,UT74870,287418.414,6215354.529,128.135,10:47,,,,,0.000,"340° 57' 48""","273° 39' 28""",36.036,35.963,8,2.299
STN741_UT74880_1,UT74880,287407.543,6215353.038,128.154,10:42,,,,,0.000,"178° 36' 44""","086° 15' 50""",35.573,35.497,8,2.318
STN741_UT74880_2,UT74880,287407.544,6215353.038,128.152,10:47,,,,,0.000,"358° 36' 40""","273° 43' 56""",35.573,35.497,8,2.316
STN741_UT74890_1,UT74890,287397.728,6215351.645,127.908,10:42,,,,,0.000,"193° 38' 59""","086° 52' 30""",38.008,37.951,8,2.072
STN741_UT74890_2,UT74890,287397.728,6215351.645,127.906,10:47,,,,,0.000,"013° 38' 55""","273° 07' 17""",38.008,37.951,8,2.070
STN741_UT74900_1,UT74900,287387.278,6215350.613,128.056,10:42,,,,,0.000,"207° 06' 24""","087° 01' 00""",42.647,42.590,8,2.220
STN741_UT74900_2,UT74900,287387.278,6215350.613,128.054,10:47,,,,,0.000,"027° 06' 25""","272° 58' 50""",42.647,42.590,8,2.218
STN741_UT74910_1,UT74910,287377.252,6215347.681,128.093,10:41,,,,,0.000,"215° 46' 35""","087° 26' 01""",50.394,50.344,8,2.257
STN741_UT74910_2,UT74910,287377.252,6215347.681,128.091,10:48,,,,,0.000,"035° 46' 32""","272° 33' 51""",50.394,50.343,8,2.255
STN741_UT74920_1,UT74920,287367.307,6215345.171,127.891,10:41,,,,,0.000,"222° 14' 53""","087° 59' 27""",58.603,58.567,8,2.055
STN741_UT74920_2,UT74920,287367.307,6215345.171,127.888,10:48,,,,,0.000,"042° 14' 50""","272° 00' 22""",58.603,58.567,8,2.052
